Certus1
3474994693.8676	0.992619279687 -0.049665777022 0.110635781671 365.567303698178 -0.063751893052 -0.989766891385 0.127660474894 -83.825295606593 0.103163277020 -0.133771489155 -0.985627986090 -2188.576832799847 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994693.9002	0.992610745178 -0.049608876316 0.110737834309 365.542023387980 -0.063677913714 -0.989809831110 0.127364129733 -83.816229251011 0.103291005716 -0.133474557981 -0.985654863789 -2188.515058125327 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994693.9687	0.992497554457 -0.049289266177 0.111889108664 365.523421049122 -0.063599661723 -0.989711372488 0.128165838650 -83.855100762930 0.104420723166 -0.134320390887 -0.985420897467 -2188.148702810058 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.0012	0.992546179049 -0.049183586776 0.111503619887 365.549109148464 -0.063295731313 -0.989909067367 0.126782052130 -83.768911608844 0.104142848308 -0.132894744579 -0.985643573514 -2188.369966459950 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.0346	0.992516263439 -0.049127363822 0.111794315299 365.555858280903 -0.063164462380 -0.990054955287 0.125703763683 -83.766885381403 0.104507021302 -0.131824457654 -0.985748748345 -2188.230500887508 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.1007	0.992527524300 -0.048758828791 0.111855666468 365.505550917450 -0.062948609015 -0.989895932130 0.127057137442 -83.788436094783 0.104530312011 -0.133148864685 -0.985568259282 -2188.182766501337 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.1660	0.992628452100 -0.048667776942 0.110996412419 365.542868873272 -0.062747325133 -0.989902292548 0.127107137470 -83.750454412885 0.103689581304 -0.133134889097 -0.985658953206 -2188.546603436051 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.1983	0.992551856968 -0.048488811642 0.111757086461 365.485926676412 -0.062648269533 -0.989936473372 0.126889609555 -83.773650925825 0.104479689668 -0.132945905669 -0.985601025067 -2188.243667717205 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.2658	0.992635637885 -0.048151500491 0.111157201305 365.494111285155 -0.062316882406 -0.989852849798 0.127702552496 -83.805011853040 0.103880202968 -0.133689074899 -0.985563866365 -2188.462802578485 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.3303	0.992621272175 -0.047985527864 0.111357079443 365.506084565421 -0.062111807406 -0.989946869370 0.127072102387 -83.785677181281 0.104139970267 -0.133051061401 -0.985622788724 -2188.484028031964 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.3624	0.992607898761 -0.048014854842 0.111463595095 365.513131663412 -0.062114585692 -0.989996144961 0.126686270790 -83.799332538083 0.104265706545 -0.132673308079 -0.985660416047 -2188.380943657986 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.4279	0.992647961806 -0.048193524038 0.111028861848 365.520772725020 -0.062226316956 -0.989998974071 0.126609307784 -83.828514047374 0.103816710603 -0.132587388466 -0.985719369303 -2188.425497259613 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.4926	0.992622878185 -0.048096260119 0.111294975032 365.571693258748 -0.062256386079 -0.989886020709 0.127474736311 -83.751933316541 0.104038281883 -0.133463162587 -0.985577810290 -2188.145238532698 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.5246	0.992643835503 -0.047717919889 0.111270912459 365.580348207793 -0.062124170510 -0.989588447327 0.129827933652 -83.732552132836 0.103917290556 -0.135785511154 -0.985273308115 -2187.978354544977 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.5918	0.992955635860 -0.047111508153 0.108718034446 365.764522669178 -0.061455372815 -0.989261552340 0.132607760761 -83.628472085398 0.101303219921 -0.138354930745 -0.985188089033 -2188.619289439614 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.6556	0.992863403115 -0.046244132479 0.109926079557 365.855508951835 -0.060855549514 -0.989175489036 0.133523233871 -83.624071197889 0.102561517387 -0.139259944354 -0.984930354416 -2187.928363844680 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.6885	0.992954349281 -0.045610342052 0.109367988652 365.944531136429 -0.060352640460 -0.988934436999 0.135522094536 -83.618075774552 0.101976561196 -0.141167900090 -0.984719454947 -2188.215904254642 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.7540	0.992998600654 -0.044150061041 0.109565282870 366.076224439734 -0.058968539942 -0.988962301763 0.135927469585 -83.538065057008 0.102354728261 -0.141436691848 -0.984641646388 -2188.041899791456 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.8189	0.993194486430 -0.042111285558 0.108587990840 366.344152654201 -0.057163894180 -0.988575026200 0.139469375765 -83.398352206355 0.101474141180 -0.144727527453 -0.984254510515 -2188.006733208194 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.8511	0.993207841624 -0.041193285807 0.108817721633 366.383088302821 -0.056535034331 -0.988265359942 0.141899148103 -83.412498008408 0.101695492675 -0.147087360244 -0.983881768927 -2187.638994581382 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.9192	0.993464886261 -0.040064300037 0.106875495923 366.682782698117 -0.055253649922 -0.988152418408 0.143184608686 -83.339236743079 0.099872688641 -0.148154142220 -0.983908428771 -2187.935815166749 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994694.9512	0.993408144982 -0.039515929812 0.107604594576 366.823452716256 -0.054755399517 -0.988267732999 0.142578869884 -83.343286042387 0.100708012127 -0.147530943211 -0.983916925908 -2187.354699448474 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.0195	0.993360410166 -0.039721198898 0.107969078314 367.104499910296 -0.055040749566 -0.988214247600 0.142839478881 -83.327447288428 0.101022826139 -0.147833782330 -0.983839194889 -2187.325718507220 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994695.0537	0.993259966300 -0.040108116028 0.108747314330 367.255751035641 -0.055505856226 -0.988238758196 0.142489496887 -83.254944247225 0.101753325597 -0.147565225671 -0.983804230984 -2187.382576836355 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
