Certus1
3474994788.3068	0.998029202732 -0.045341848696 0.043380032851 373.994087717147 -0.053514235728 -0.976013478743 0.211030604145 -87.918004380664 0.032770979047 -0.212936154911 -0.976516388426 -2190.340620333885 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.3741	0.998062331103 -0.044813463039 0.043166384647 373.985755905076 -0.052931977341 -0.976174037481 0.210433966657 -87.915150328010 0.032707629197 -0.212311097399 -0.976654600621 -2190.459715865143 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.4062	0.998081371704 -0.044515697537 0.043034034565 373.977188494494 -0.052615181365 -0.976174532224 0.210511104999 -87.887126964428 0.032637679883 -0.212371455970 -0.976643817643 -2190.513438157899 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.4381	0.998101648262 -0.044356530423 0.042727016585 373.976833291297 -0.052393920096 -0.976188362124 0.210502158638 -87.861454322187 0.032372470935 -0.212341187393 -0.976659225760 -2190.642560432602 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.5062	0.998088597984 -0.044116802886 0.043276532632 373.990695654947 -0.052278288819 -0.976181929986 0.210560727788 -87.827057131191 0.032956503024 -0.212420684661 -0.976622404841 -2190.430601512824 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.5711	0.998082869261 -0.044950539869 0.042544506724 373.998810761284 -0.052904318105 -0.976368753582 0.209535653658 -87.906825666022 0.032120386248 -0.211384734533 -0.976875004693 -2190.770159519733 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.6031	0.998048459194 -0.045115641453 0.043172352226 373.982476884990 -0.053163104283 -0.976582438178 0.208471642640 -87.926765975704 0.032756029116 -0.210359977986 -0.977075085251 -2190.495021703128 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.6704	0.998021018954 -0.044898346421 0.044024813633 373.993061479157 -0.053115243343 -0.976676956126 0.208040607327 -87.880507636950 0.033657341716 -0.209967287598 -0.977128917537 -2190.369043366693 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.7366	0.998049859673 -0.044212871338 0.044064720744 373.990540273517 -0.052485700317 -0.976508132654 0.208990713008 -87.843367590120 0.033789478664 -0.210895919518 -0.976924348280 -2190.432269152568 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
3474994788.7685	0.998052925716 -0.043749971441 0.044455567347 373.987285236834 -0.052108808681 -0.976568164357 0.208804435830 -87.849656515140 0.034278703695 -0.210714404736 -0.976946472490 -2190.273743281634 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |	
