Certus1	
3476099913	0.296340266589 0.824175113274 0.482615612116 344.595550537109 0.944219180626 -0.328811093772 -0.018259341449 -297.014343261719 0.143640472485 0.461105895942 -0.875641917334 -1697.092163085937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.296556891154 0.824075958371 0.482651867440 344.433258056641 0.944127589779 -0.329074919512 -0.018242575650 -297.180114746094 0.143795356418 0.461094905830 -0.875622283459 -1696.959838867187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.296896310256 0.823778885368 0.482950234474 344.427490234375 0.944098571723 -0.329114634874 -0.019011680153 -297.238983154297 0.143284569396 0.461597124270 -0.875441389837 -1696.914550781250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.297347840728 0.823476801084 0.483187561607 344.391113281250 0.943985196645 -0.329410134113 -0.019516968496 -297.226409912109 0.143095108687 0.461925233799 -0.875299302096 -1696.968750000000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.297424237635 0.824167380038 0.481961567503 344.361938476562 0.944003861806 -0.329367771824 -0.019328211992 -297.251434326172 0.142812925754 0.460722259681 -0.875979147966 -1696.970947265625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.297637393883 0.824362444412 0.481496149524 344.290863037109 0.944083704847 -0.329089073357 -0.020157877867 -297.294403076172 0.141837724199 0.460572406946 -0.876216364806 -1696.937866210937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.298769803494 0.824202699260 0.481068098144 343.783081054687 0.943647204084 -0.330342879542 -0.020088209486 -297.372467041016 0.142360664315 0.459960316188 -0.876453049962 -1697.102539062500 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.301067304937 0.808585583789 0.505517389994 343.379638671875 0.942324090533 -0.333554853814 -0.027685156622 -297.198944091797 0.146231960591 0.484696310266 -0.862372135749 -1700.010986328125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.303241136602 0.802260199422 0.514221144544 342.685913085937 0.941332344305 -0.336073612104 -0.030788712420 -296.981842041016 0.148115598901 0.493389399633 -0.857104818381 -1701.378540039062 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.305881951337 0.798325272022 0.518761016170 341.662750244141 0.940210347553 -0.339025130927 -0.032656744395 -296.672332763672 0.149802317074 0.497733584010 -0.854295350068 -1702.484619140625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.310976276876 0.794177791493 0.522087531665 339.592407226562 0.938292778186 -0.344004916102 -0.035598877813 -295.845855712891 0.151328839367 0.500941367025 -0.852148654390 -1704.324707031250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.315033812660 0.798831091684 0.512467153914 337.871734619141 0.936626594716 -0.348867667447 -0.031968307447 -295.105255126953 0.153245942692 0.490061463053 -0.858111556547 -1704.869262695312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.317252187939 0.802158015202 0.505859237235 337.028289794922 0.935767361805 -0.351364991086 -0.029699959926 -294.999633789062 0.153917165476 0.482788941140 -0.862104601823 -1705.080688476562 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.318668409334 0.799398506117 0.509325508208 336.759704589844 0.934659370652 -0.354396098565 -0.028552866317 -295.125488281250 0.157677854329 0.485144755449 -0.860100145631 -1706.816650390625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.318108503970 0.793320620037 0.519085131290 337.430450439453 0.934586145442 -0.354370268689 -0.031152037120 -295.360107421875 0.159234784044 0.495039499933 -0.854154656404 -1708.126342773437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.315192945298 0.778727904188 0.542435487844 339.063323974609 0.934903165939 -0.353027991742 -0.036432229739 -295.600311279297 0.163124117013 0.518607836698 -0.839307115521 -1710.755981445312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.315189517884 0.775246851030 0.547401030127 339.209838867187 0.934726692183 -0.353353694778 -0.037778000310 -295.508270263672 0.164138900742 0.523577583893 -0.836017305388 -1711.452026367187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.319388006327 0.773708122799 0.547144443569 337.359130859375 0.933248223106 -0.357005532906 -0.039934991481 -294.892089843750 0.164435566361 0.523376337055 -0.836085016207 -1711.644653320312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099914	0.324066157402 0.774738752956 0.542918953709 335.386108398437 0.931900000202 -0.360255990184 -0.042166469621 -294.280151367187 0.162921807167 0.519610898852 -0.838725818455 -1711.040527343750 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
