0,4.33149,6.98192,-18.9916,2.95273,0.815027,1.25022,-0.813254,0.00534927,0.170165,1.56994,-3.14157,-3.14148
1,4.32757,6.82227,-19.1906,2.97717,0.831648,1.23779,-0.813251,0.00626496,0.170173,1.56995,-3.14053,3.14129
2,4.30862,6.61999,-19.5361,3.02073,0.860875,1.21714,-0.813243,0.00734068,0.170174,1.56995,-3.1393,3.14093
3,4.35271,6.41997,-19.8235,3.05766,0.880469,1.20919,-0.81324,0.00840971,0.170177,1.56996,-3.13807,3.14041
4,4.38875,6.21667,-20.1426,3.09705,0.902787,1.20051,-0.813233,0.00938206,0.170156,1.56994,-3.13695,3.13998
5,4.43482,5.9667,-20.4716,3.13533,0.92534,1.18721,-0.81322,0.0103808,0.170157,1.56994,-3.1358,3.13953
6,4.40312,5.76421,-20.7757,3.1748,0.95364,1.1674,-0.813207,0.0113123,0.170155,1.56994,-3.13473,3.13911
7,4.35147,5.44804,-21.2833,3.2345,0.998918,1.12989,-0.813191,0.0123542,0.170152,1.56993,-3.13351,3.1388
8,4.26937,5.0929,-21.7267,3.2855,1.0428,1.08425,-0.813218,0.0133906,0.170159,1.56999,-3.13229,3.13847
9,4.26597,4.78372,-22.2019,3.34039,1.0826,1.05891,-0.813198,0.014314,0.170158,1.56998,-3.13123,3.13804
10,4.23864,4.31126,-22.7474,3.40024,1.12981,1.01386,-0.813278,0.0153932,0.170161,1.5701,-3.12998,3.13759
11,4.19225,4.70081,-22.1825,3.33402,1.08743,1.03621,-0.81233,0.0153661,0.170121,1.56889,-3.12999,3.1376
12,4.16014,5.03434,-21.8001,3.29255,1.05866,1.05646,-0.812349,0.014433,0.170121,1.56889,-3.13105,3.13813
13,4.17988,5.29877,-21.3571,3.23571,1.02039,1.08254,-0.812366,0.0134344,0.170125,1.5689,-3.13221,3.13856
14,4.19032,5.59104,-20.9637,3.1912,0.987699,1.10909,-0.812381,0.0125136,0.170126,1.56891,-3.13328,3.13894
15,4.297,5.92876,-20.5348,3.14104,0.942888,1.15698,-0.812344,0.0114052,0.170128,1.56884,-3.1346,3.13919
16,4.30513,6.16092,-20.1914,3.10036,0.9137,1.17813,-0.812358,0.0104657,0.170127,1.56885,-3.13569,3.13957
17,4.33348,6.39314,-19.8821,3.06344,0.8861,1.19949,-0.812371,0.00945854,0.17013,1.56885,-3.13685,3.14001
18,4.30439,6.58033,-19.5952,3.02591,0.865666,1.21196,-0.812382,0.00844869,0.170132,1.56886,-3.13802,3.14042
19,4.24627,6.78506,-19.2994,2.99013,0.846847,1.21486,-0.812389,0.00738819,0.170131,1.56886,-3.13923,3.14102
20,4.27442,6.972,-18.973,2.94899,0.818125,1.23648,-0.812386,0.00635106,0.170118,1.56883,-3.14044,3.14139
21,4.28956,7.13625,-18.7428,2.91901,0.798557,1.25451,-0.812341,0.00539867,0.170122,1.56877,-3.14157,-3.14153
22,5.87739,7.20445,-18.5772,2.88894,0.644274,1.58883,-0.812207,0.00537666,0.169159,1.5676,-3.14159,-3.14149
23,5.91018,7.03794,-18.846,2.92413,0.662372,1.58219,-0.812275,0.00639769,0.169161,1.5677,-3.14041,3.14126
24,5.92907,6.88241,-19.0811,2.9543,0.679219,1.57173,-0.812247,0.00731993,0.169147,1.56766,-3.13933,3.14096
25,5.96938,6.69638,-19.3635,2.99034,0.697785,1.56584,-0.812233,0.00838245,0.169142,1.56764,-3.13812,3.14042
26,5.99574,6.49118,-19.6568,3.02633,0.718452,1.55323,-0.812219,0.00938184,0.169138,1.56763,-3.13697,3.13997
27,5.99643,6.26989,-19.9718,3.06452,0.743129,1.53531,-0.812205,0.0103845,0.169135,1.56762,-3.13581,3.13955
28,5.98575,6.05552,-20.278,3.10221,0.768661,1.51672,-0.812192,0.0113118,0.169132,1.56762,-3.13474,3.13914
29,5.88614,5.73536,-20.8063,3.16659,0.819273,1.46706,-0.8122,0.0124359,0.169165,1.56768,-3.1334,3.13885
30,5.8554,5.41566,-21.1937,3.21136,0.853949,1.43554,-0.812277,0.0133938,0.169155,1.56778,-3.13229,3.13849
31,5.85454,5.16769,-21.631,3.2659,0.889063,1.41434,-0.812248,0.014293,0.16915,1.56775,-3.13125,3.13809
32,5.83179,4.79992,-22.1198,3.32162,0.930348,1.37903,-0.812225,0.0153157,0.169145,1.56774,-3.13008,3.13765
