0,2.24255,3.34628,-16.8752,2.65651,-1.63683,0.227139,-0.700411,0.00132316,0.133903
1,2.25355,3.33743,-16.8338,2.64942,-1.63276,0.225866,-0.700413,0.00224117,0.133908
2,2.23642,3.27861,-16.8151,2.64017,-1.6301,0.225387,-0.700418,0.0032007,0.133916
3,2.20421,3.25503,-16.8083,2.63613,-1.6254,0.220275,-0.700416,0.00420046,0.133919
4,2.19707,3.20669,-16.8187,2.63121,-1.62527,0.220275,-0.700413,0.00520056,0.133923
5,2.17869,3.18201,-16.7166,2.61538,-1.61579,0.217191,-0.700407,0.00620062,0.133923
6,2.22006,3.215,-16.7891,2.62737,-1.62596,0.223174,-0.700417,0.005201,0.133923
7,2.21466,3.21287,-16.8258,2.63342,-1.62901,0.225391,-0.70042,0.00424896,0.13392
8,2.23882,3.26638,-16.8337,2.64122,-1.63271,0.227083,-0.70042,0.00324719,0.133915
9,2.24667,3.29009,-16.8545,2.64711,-1.63531,0.229277,-0.70042,0.00223519,0.133911
10,2.25665,3.33499,-16.8923,2.65772,-1.63906,0.229891,-0.700419,0.00123426,0.13391
