0,1.98763,1.94739,-19.7872,2.88362,-1.82675,0.302632,-0.700375,0.00124884,0.133954
1,1.98516,1.95471,-19.7735,2.88246,-1.82622,0.301442,-0.700411,0.00125919,0.13491
2,1.96237,1.92465,-19.7836,2.87986,-1.82607,0.300497,-0.700387,0.00125938,0.135942
3,1.93296,1.94118,-19.7618,2.87813,-1.82228,0.294519,-0.70037,0.00120837,0.136957
4,1.92328,1.91797,-19.7474,2.87421,-1.82039,0.294071,-0.70042,0.00125968,0.13792
5,1.88996,1.90488,-19.695,2.86616,-1.81364,0.290119,-0.70036,0.00121673,0.138946
6,1.90753,1.91317,-19.7602,2.87533,-1.81881,0.291468,-0.700389,0.00125927,0.1379
7,1.91973,1.92097,-19.7666,2.87743,-1.81991,0.293314,-0.700411,0.00125834,0.136903
8,1.93128,1.91859,-19.7881,2.88036,-1.82208,0.295819,-0.700373,0.00125991,0.135933
9,1.93392,1.91789,-19.8579,2.88905,-1.82657,0.297031,-0.700379,0.00125984,0.134941
10,1.94371,1.9408,-19.8479,2.89066,-1.82637,0.297405,-0.700402,0.00125909,0.133949
